Department,Dept. No.,Job Title,Active Count,Retirement-Ready Count,Retirement-Ready Percentage
Marketing,d001,Manager,1,0,0.00
Marketing,d001,Senior Staff,11290,3355,29.72
Marketing,d001,Staff,3551,1037,29.20
Finance,d002,Manager,1,0,0.00
Finance,d002,Senior Staff,9545,2884,30.21
Finance,d002,Staff,2891,875,30.27
Human Resources,d003,Manager,1,0,0.00
Human Resources,d003,Senior Staff,9824,2996,30.50
Human Resources,d003,Staff,3073,929,30.23
Production,d004,Assistant Engineer,1402,426,30.39
Production,d004,Engineer,12081,3611,29.89
Production,d004,Manager,1,0,0.00
Production,d004,Senior Engineer,33625,10189,30.30
Production,d004,Senior Staff,1123,390,34.73
Production,d004,Staff,349,99,28.37
Production,d004,Technique Leader,4723,1457,30.85
Development,d005,Assistant Engineer,1652,496,30.02
Development,d005,Engineer,14040,4191,29.85
Development,d005,Manager,1,0,0.00
Development,d005,Senior Engineer,38816,11644,30.00
Development,d005,Senior Staff,1085,329,30.32
Development,d005,Staff,315,118,37.46
Development,d005,Technique Leader,5477,1590,29.03
Quality Management,d006,Assistant Engineer,389,125,32.13
Quality Management,d006,Engineer,3405,1051,30.87
Quality Management,d006,Manager,1,0,0.00
Quality Management,d006,Senior Engineer,9458,2874,30.39
Quality Management,d006,Technique Leader,1293,398,30.78
Sales,d007,Manager,1,1,100.00
Sales,d007,Senior Staff,28797,8685,30.16
Sales,d007,Staff,8903,2650,29.77
Research,d008,Assistant Engineer,77,21,27.27
Research,d008,Engineer,830,244,29.40
Research,d008,Manager,1,1,100.00
Research,d008,Senior Engineer,2250,664,29.51
Research,d008,Senior Staff,9092,2834,31.17
Research,d008,Staff,2870,880,30.66
Research,d008,Technique Leader,321,94,29.28
Customer Service,d009,Assistant Engineer,68,22,32.35
Customer Service,d009,Engineer,627,188,29.98
Customer Service,d009,Manager,1,0,0.00
Customer Service,d009,Senior Engineer,1790,545,30.45
Customer Service,d009,Senior Staff,11268,3453,30.64
Customer Service,d009,Staff,3574,1048,29.32
Customer Service,d009,Technique Leader,241,64,26.56
